title,type,question,A,B,C,D,answer,image
Selangor set 2 F5,radio,F5 Bab 1,A,B,C,D,C,Picture21.png
,radio,F5 Bab 1,A,B,C,D,B,Picture22.png
,radio,F5 Bab 2,A,B,C,D,D,Picture23.png
,radio,F5 Bab 2,A,B,C,D,A,Picture24.png
,radio,F5 Bab 3,A,B,C,D,A,Picture25.png
,radio,F5 Bab 3,A,B,C,D,B,Picture26.png
,radio,F5 Bab 4,A,B,C,D,B,Picture27.png
,radio,F5 Bab 4,A,B,C,D,D,Picture28.png
,radio,F5 Bab 5,A,B,C,D,C,Picture29.png
,radio,F5 Bab 5,A,B,C,D,D,Picture30.png
,radio,F5 Bab 6,A,B,C,D,A,Picture31.png
,radio,F5 Bab 6,A,B,C,D,D,Picture32.png
,radio,F5 Bab 7,A,B,C,D,A,Picture33.png
,radio,F5 Bab 7,A,B,C,D,C,Picture34.png
,radio,F5 Bab 8,A,B,C,D,D,Picture35.png
,radio,F5 Bab 8,A,B,C,D,B,Picture36.png
,radio,F5 Bab 9,A,B,C,D,A,Picture37.png
,radio,F5 Bab 9,A,B,C,D,C,Picture38.png
,radio,F5 Bab 10,A,B,C,D,B,Picture39.png
,radio,F5 Bab 10,A,B,C,D,C,Picture40.png
