title,type,question,A,B,C,D,answer,image
F5 Chp 2,radio,JohorBahru_Q23,A,B,C,D,A,Johor Bahru/Picture23.png
F5 Chp 2,radio,JohorKulaiSet_Q23,A,B,C,D,D,Johor Kulai Set 1/Picture23.png
F5 Chp 2,radio,JohorKulaiSet_Q23,A,B,C,D,B,Johor Kulai Set 2/Picture23.png
F5 Chp 2,radio,JohorMuar_Q23,A,B,C,D,B,Johor Muar/Picture23.png
F5 Chp 2,radio,JohorPasirGudang_Q23,A,B,C,D,D,Johor Pasir Gudang/Picture23.png
F5 Chp 2,radio,JohorSegamatSet_Q23,A,B,C,D,B,Johor Segamat Set 1/Picture23.png
F5 Chp 2,radio,JohorSegamatSet_Q23,A,B,C,D,C,Johor Segamat Set 2/Picture23.png
F5 Chp 2,radio,Kedah_Q23,A,B,C,D,A,Kedah/Picture23.png
F5 Chp 2,radio,Melaka_Q23,A,B,C,D,C,Melaka/Picture23.png
F5 Chp 2,radio,Perak_Q23,A,B,C,D,C,Perak/Picture23.png
F5 Chp 2,radio,Perlis_Q23,A,B,C,D,D,Perlis/Picture23.png
F5 Chp 2,radio,PulauPinang_Q23,A,B,C,D,D,Pulau Pinang/Picture23.png
F5 Chp 2,radio,Sbp_Q23,A,B,C,D,D,SBP/Picture23.png
F5 Chp 2,radio,Selangor_Q23,A,B,C,D,D,Selangor/Picture23.png
F5 Chp 2,radio,Smka_Q23,A,B,C,D,A,SMKA/Picture23.png
F5 Chp 2,radio,Terengganu_Q23,A,B,C,D,A,Terengganu/Picture23.png
F5 Chp 2,radio,JohorBahru_Q24,A,B,C,D,C,Johor Bahru/Picture24.png
F5 Chp 2,radio,JohorKulaiSet_Q24,A,B,C,D,C,Johor Kulai Set 1/Picture24.png
F5 Chp 2,radio,JohorKulaiSet_Q24,A,B,C,D,B,Johor Kulai Set 2/Picture24.png
F5 Chp 2,radio,JohorMuar_Q24,A,B,C,D,D,Johor Muar/Picture24.png
F5 Chp 2,radio,JohorPasirGudang_Q24,A,B,C,D,C,Johor Pasir Gudang/Picture24.png
F5 Chp 2,radio,JohorSegamatSet_Q24,A,B,C,D,C,Johor Segamat Set 1/Picture24.png
F5 Chp 2,radio,JohorSegamatSet_Q24,A,B,C,D,B,Johor Segamat Set 2/Picture24.png
F5 Chp 2,radio,Kedah_Q24,A,B,C,D,C,Kedah/Picture24.png
F5 Chp 2,radio,Melaka_Q24,A,B,C,D,D,Melaka/Picture24.png
F5 Chp 2,radio,Perak_Q24,A,B,C,D,A,Perak/Picture24.png
F5 Chp 2,radio,Perlis_Q24,A,B,C,D,B,Perlis/Picture24.png
F5 Chp 2,radio,PulauPinang_Q24,A,B,C,D,C,Pulau Pinang/Picture24.png
F5 Chp 2,radio,Sbp_Q24,A,B,C,D,A,SBP/Picture24.png
F5 Chp 2,radio,Selangor_Q24,A,B,C,D,B,Selangor/Picture24.png
F5 Chp 2,radio,Smka_Q24,A,B,C,D,D,SMKA/Picture24.png
F5 Chp 2,radio,Terengganu_Q24,A,B,C,D,D,Terengganu/Picture24.png
