title,type,question,A,B,C,D,answer,image
Johor Muar F5,radio,F5 Bab 1,A,B,C,D,A,Picture21.png
,radio,F5 Bab 1,A,B,C,D,C,Picture22.png
,radio,F5 Bab 2,A,B,C,D,B,Picture23.png
,radio,F5 Bab 2,A,B,C,D,D,Picture24.png
,radio,F5 Bab 3,A,B,C,D,C,Picture25.png
,radio,F5 Bab 3,A,B,C,D,A,Picture26.png
,radio,F5 Bab 4,A,B,C,D,C,Picture27.png
,radio,F5 Bab 4,A,B,C,D,C,Picture28.png
,radio,F5 Bab 5,A,B,C,D,B,Picture29.png
,radio,F5 Bab 5,A,B,C,D,D,Picture30.png
,radio,F5 Bab 6,A,B,C,D,A,Picture31.png
,radio,F5 Bab 6,A,B,C,D,D,Picture32.png
,radio,F5 Bab 7,A,B,C,D,B,Picture33.png
,radio,F5 Bab 7,A,B,C,D,C,Picture34.png
,radio,F5 Bab 8,A,B,C,D,A,Picture35.png
,radio,F5 Bab 8,A,B,C,D,D,Picture36.png
,radio,F5 Bab 9,A,B,C,D,D,Picture37.png
,radio,F5 Bab 9,A,B,C,D,B,Picture38.png
,radio,F5 Bab 10,A,B,C,D,C,Picture39.png
,radio,F5 Bab 10,A,B,C,D,B,Picture40.png
