title,type,question,A,B,C,D,answer,image
Pasir gudang 2025,radio,F4 Bab 1,A,B,C,D,C,Picture1.png
,radio,F4 Bab 1,A,B,C,D,B,Picture2.png
,radio,F4 Bab 2,A,B,C,D,C,Picture3.png
,radio,F4 Bab 2,A,B,C,D,A,Picture4.png
,radio,F4 Bab 3,A,B,C,D,D,Picture5.png
,radio,F4 Bab 3,A,B,C,D,B,Picture6.png
,radio,F4 Bab 4,A,B,C,D,B,Picture7.png
,radio,F4 Bab 4,A,B,C,D,B,Picture8.png
,radio,F4 Bab 5,A,B,C,D,C,Picture9.png
,radio,F4 Bab 5,A,B,C,D,B,Picture10.png
,radio,F4 Bab 6,A,B,C,D,B,Picture11.png
,radio,F4 Bab 6,A,B,C,D,D,Picture12.png
,radio,F4 Bab 7,A,B,C,D,B,Picture13.png
,radio,F4 Bab 7,A,B,C,D,B,Picture14.png
,radio,F4 Bab 8,A,B,C,D,C,Picture15.png
,radio,F4 Bab 8,A,B,C,D,A,Picture16.png
,radio,F4 Bab 9,A,B,C,D,B,Picture17.png
,radio,F4 Bab 9,A,B,C,D,A,Picture18.png
,radio,F4 Bab 10,A,B,C,D,B,Picture19.png
,radio,F4 Bab 10,A,B,C,D,A,Picture20.png
,radio,F5 Bab 1,A,B,C,D,A,Picture21.png
,radio,F5 Bab 1,A,B,C,D,D,Picture22.png
,radio,F5 Bab 2,A,B,C,D,D,Picture23.png
,radio,F5 Bab 2,A,B,C,D,C,Picture24.png
,radio,F5 Bab 3,A,B,C,D,C,Picture25.png
,radio,F5 Bab 3,A,B,C,D,A,Picture26.png
,radio,F5 Bab 4,A,B,C,D,C,Picture27.png
,radio,F5 Bab 4,A,B,C,D,D,Picture28.png
,radio,F5 Bab 5,A,B,C,D,A,Picture29.png
,radio,F5 Bab 5,A,B,C,D,B,Picture30.png
,radio,F5 Bab 6,A,B,C,D,D,Picture31.png
,radio,F5 Bab 6,A,B,C,D,B,Picture32.png
,radio,F5 Bab 7,A,B,C,D,D,Picture33.png
,radio,F5 Bab 7,A,B,C,D,A,Picture34.png
,radio,F5 Bab 8,A,B,C,D,C,Picture35.png
,radio,F5 Bab 8,A,B,C,D,D,Picture36.png
,radio,F5 Bab 9,A,B,C,D,A,Picture37.png
,radio,F5 Bab 9,A,B,C,D,C,Picture38.png
,radio,F5 Bab 10,A,B,C,D,D,Picture39.png
,radio,F5 Bab 10,A,B,C,D,A,Picture40.png
