title,type,question,A,B,C,D,answer,image
Johor Segamat Set 2 F5,radio,F5 Bab 1,A,B,C,D,D,Picture21.png
,radio,F5 Bab 1,A,B,C,D,A,Picture22.png
,radio,F5 Bab 2,A,B,C,D,C,Picture23.png
,radio,F5 Bab 2,A,B,C,D,B,Picture24.png
,radio,F5 Bab 3,A,B,C,D,D,Picture25.png
,radio,F5 Bab 3,A,B,C,D,A,Picture26.png
,radio,F5 Bab 4,A,B,C,D,C,Picture27.png
,radio,F5 Bab 4,A,B,C,D,A,Picture28.png
,radio,F5 Bab 5,A,B,C,D,C,Picture29.png
,radio,F5 Bab 5,A,B,C,D,B,Picture30.png
,radio,F5 Bab 6,A,B,C,D,B,Picture31.png
,radio,F5 Bab 6,A,B,C,D,D,Picture32.png
,radio,F5 Bab 7,A,B,C,D,B,Picture33.png
,radio,F5 Bab 7,A,B,C,D,C,Picture34.png
,radio,F5 Bab 8,A,B,C,D,A,Picture35.png
,radio,F5 Bab 8,A,B,C,D,D,Picture36.png
,radio,F5 Bab 9,A,B,C,D,B,Picture37.png
,radio,F5 Bab 9,A,B,C,D,A,Picture38.png
,radio,F5 Bab 10,A,B,C,D,D,Picture39.png
,radio,F5 Bab 10,A,B,C,D,C,Picture40.png
