title,type,question,A,B,C,D,answer,image
Melaka 2025,radio,F4 Bab 1,A,B,C,D,A,Picture1.png
,radio,F4 Bab 1,A,B,C,D,A,Picture2.png
,radio,F4 Bab 1,A,B,C,D,C,Picture3.png
,radio,F4 Bab 2,A,B,C,D,C,Picture4.png
,radio,F4 Bab 2,A,B,C,D,B,Picture5.png
,radio,F4 Bab 3,A,B,C,D,D,Picture6.png
,radio,F4 Bab 3,A,B,C,D,C,Picture7.png
,radio,F4 Bab 4,A,B,C,D,B,Picture8.png
,radio,F4 Bab 4,A,B,C,D,A,Picture9.png
,radio,F4 Bab 5,A,B,C,D,A,Picture10.png
,radio,F4 Bab 6,A,B,C,D,B,Picture11.png
,radio,F4 Bab 6,A,B,C,D,B,Picture12.png
,radio,F4 Bab 6,A,B,C,D,B,Picture13.png
,radio,F4 Bab 7,A,B,C,D,D,Picture14.png
,radio,F4 Bab 8,A,B,C,D,D,Picture15.png
,radio,F4 Bab 8,A,B,C,D,A,Picture16.png
,radio,F4 Bab 9,A,B,C,D,B,Picture17.png
,radio,F4 Bab 9,A,B,C,D,C,Picture18.png
,radio,F4 Bab 10,A,B,C,D,D,Picture19.png
,radio,F4 Bab 10,A,B,C,D,C,Picture20.png
,radio,F5 Bab 1,A,B,C,D,C,Picture21.png
,radio,F5 Bab 1,A,B,C,D,A,Picture22.png
,radio,F5 Bab 2,A,B,C,D,C,Picture23.png
,radio,F5 Bab 2,A,B,C,D,D,Picture24.png
,radio,F5 Bab 3,A,B,C,D,A,Picture25.png
,radio,F5 Bab 3,A,B,C,D,C,Picture26.png
,radio,F5 Bab 4,A,B,C,D,D,Picture27.png
,radio,F5 Bab 4,A,B,C,D,C,Picture28.png
,radio,F5 Bab 5,A,B,C,D,D,Picture29.png
,radio,F5 Bab 5,A,B,C,D,B,Picture30.png
,radio,F5 Bab 6,A,B,C,D,A,Picture31.png
,radio,F5 Bab 6,A,B,C,D,A,Picture32.png
,radio,F5 Bab 7,A,B,C,D,D,Picture33.png
,radio,F5 Bab 7,A,B,C,D,B,Picture34.png
,radio,F5 Bab 7,A,B,C,D,C,Picture35.png
,radio,F5 Bab 8,A,B,C,D,C,Picture36.png
,radio,F5 Bab 8,A,B,C,D,B,Picture37.png
,radio,F5 Bab 9,A,B,C,D,D,Picture38.png
,radio,F5 Bab 10,A,B,C,D,C,Picture39.png
,radio,F5 Bab 10,A,B,C,D,B,Picture40.png
