title,type,question,A,B,C,D,answer,image
Perlis F5,radio,F5 Bab 1,A,B,C,D,A,Picture21.png
,radio,F5 Bab 1,A,B,C,D,C,Picture22.png
,radio,F5 Bab 2,A,B,C,D,D,Picture23.png
,radio,F5 Bab 2,A,B,C,D,B,Picture24.png
,radio,F5 Bab 3,A,B,C,D,D,Picture25.png
,radio,F5 Bab 3,A,B,C,D,A,Picture26.png
,radio,F5 Bab 4,A,B,C,D,D,Picture27.png
,radio,F5 Bab 5,A,B,C,D,C,Picture29.png
,radio,F5 Bab 5,A,B,C,D,A,Picture30.png
,radio,F5 Bab 6,A,B,C,D,C,Picture31.png
,radio,F5 Bab 6,A,B,C,D,A,Picture32.png
,radio,F5 Bab 7,A,B,C,D,B,Picture33.png
,radio,F5 Bab 7,A,B,C,D,C,Picture34.png
,radio,F5 Bab 8,A,B,C,D,D,Picture35.png
,radio,F5 Bab 8,A,B,C,D,B,Picture36.png
,radio,F5 Bab 9,A,B,C,D,B,Picture37.png
,radio,F5 Bab 9,A,B,C,D,D,Picture38.png
,radio,F5 Bab 10,A,B,C,D,A,Picture39.png
,radio,F5 Bab 10,A,B,C,D,D,Picture40.png
