title,type,question,A,B,C,D,answer,image
SBP 2025,radio,F4 Bab 1,A,B,C,D,D,Picture1.png
,radio,F4 Bab 1,A,B,C,D,B,Picture2.png
,radio,F4 Bab 2,A,B,C,D,A,Picture3.png
,radio,F4 Bab 2,A,B,C,D,C,Picture4.png
,radio,F4 Bab 3,A,B,C,D,C,Picture5.png
,radio,F4 Bab 3,A,B,C,D,A,Picture6.png
,radio,F4 Bab 4,A,B,C,D,C,Picture7.png
,radio,F4 Bab 4,A,B,C,D,A,Picture8.png
,radio,F4 Bab 5,A,B,C,D,A,Picture9.png
,radio,F4 Bab 5,A,B,C,D,C,Picture10.png
,radio,F4 Bab 6,A,B,C,D,A,Picture11.png
,radio,F4 Bab 6,A,B,C,D,B,Picture12.png
,radio,F4 Bab 7,A,B,C,D,B,Picture13.png
,radio,F4 Bab 7,A,B,C,D,A,Picture14.png
,radio,F4 Bab 8,A,B,C,D,D,Picture15.png
,radio,F4 Bab 8,A,B,C,D,B,Picture16.png
,radio,F4 Bab 9,A,B,C,D,C,Picture17.png
,radio,F4 Bab 9,A,B,C,D,D,Picture18.png
,radio,F4 Bab 10,A,B,C,D,A,Picture19.png
,radio,F4 Bab 10,A,B,C,D,B,Picture20.png
,radio,F5 Bab 1,A,B,C,D,C,Picture21.png
,radio,F5 Bab 1,A,B,C,D,A,Picture22.png
,radio,F5 Bab 2,A,B,C,D,D,Picture23.png
,radio,F5 Bab 2,A,B,C,D,A,Picture24.png
,radio,F5 Bab 3,A,B,C,D,C,Picture25.png
,radio,F5 Bab 3,A,B,C,D,A,Picture26.png
,radio,F5 Bab 4,A,B,C,D,B,Picture27.png
,radio,F5 Bab 4,A,B,C,D,D,Picture28.png
,radio,F5 Bab 5,A,B,C,D,C,Picture29.png
,radio,F5 Bab 5,A,B,C,D,D,Picture30.png
,radio,F5 Bab 6,A,B,C,D,B,Picture31.png
,radio,F5 Bab 6,A,B,C,D,B,Picture32.png
,radio,F5 Bab 7,A,B,C,D,C,Picture33.png
,radio,F5 Bab 7,A,B,C,D,D,Picture34.png
,radio,F5 Bab 8,A,B,C,D,D,Picture35.png
,radio,F5 Bab 8,A,B,C,D,A,Picture36.png
,radio,F5 Bab 9,A,B,C,D,A,Picture37.png
,radio,F5 Bab 9,A,B,C,D,B,Picture38.png
,radio,F5 Bab 10,A,B,C,D,D,Picture39.png
,radio,F5 Bab 10,A,B,C,D,C,Picture40.png
