title,type,question,A,B,C,D,answer,image
Sarawak Sibu F5,radio,F5 Bab 1,A,B,C,D,A,Picture20.png
,radio,F5 Bab 1,A,B,C,D,C,Picture21.png
,radio,F5 Bab 2,A,B,C,D,D,Picture22.png
,radio,F5 Bab 2,A,B,C,D,A,Picture23.png
,radio,F5 Bab 2,A,B,C,D,D,Picture24.png
,radio,F5 Bab 3,A,B,C,D,A,Picture25.png
,radio,F5 Bab 3,A,B,C,D,D,Picture26.png
,radio,F5 Bab 4,A,B,C,D,B,Picture27.png
,radio,F5 Bab 4,A,B,C,D,D,Picture28.png
,radio,F5 Bab 4,A,B,C,D,B,Picture29.png
,radio,F5 Bab 5,A,B,C,D,C,Picture30.png
,radio,F5 Bab 5,A,B,C,D,D,Picture31.png
,radio,F5 Bab 6,A,B,C,D,B,Picture32.png
,radio,F5 Bab 7,A,B,C,D,D,Picture33.png
,radio,F5 Bab 7,A,B,C,D,A,Picture34.png
,radio,F5 Bab 7,A,B,C,D,D,Picture35.png
,radio,F5 Bab 7,A,B,C,D,A,Picture36.png
,radio,F5 Bab 8,A,B,C,D,B,Picture37.png
,radio,F5 Bab 9,A,B,C,D,C,Picture38.png
,radio,F5 Bab 9,A,B,C,D,D,Picture39.png
,radio,F5 Bab 10,A,B,C,D,B,Picture40.png
