title,type,question,A,B,C,D,answer,image
Selangor 2025,radio,F4 Bab 1,A,B,C,D,B,Picture1.png
,radio,F4 Bab 1,A,B,C,D,A,Picture2.png
,radio,F4 Bab 2,A,B,C,D,A,Picture3.png
,radio,F4 Bab 2,A,B,C,D,A,Picture4.png
,radio,F4 Bab 3,A,B,C,D,B,Picture5.png
,radio,F4 Bab 3,A,B,C,D,D,Picture6.png
,radio,F4 Bab 4,A,B,C,D,C,Picture7.png
,radio,F4 Bab 4,A,B,C,D,D,Picture8.png
,radio,F4 Bab 5,A,B,C,D,B,Picture9.png
,radio,F4 Bab 5,A,B,C,D,B,Picture10.png
,radio,F4 Bab 6,A,B,C,D,A,Picture11.png
,radio,F4 Bab 6,A,B,C,D,D,Picture12.png
,radio,F4 Bab 7,A,B,C,D,A,Picture13.png
,radio,F4 Bab 7,A,B,C,D,A,Picture14.png
,radio,F4 Bab 8,A,B,C,D,B,Picture15.png
,radio,F4 Bab 8,A,B,C,D,B,Picture16.png
,radio,F4 Bab 9,A,B,C,D,C,Picture17.png
,radio,F4 Bab 9,A,B,C,D,C,Picture18.png
,radio,F4 Bab 10,A,B,C,D,B,Picture19.png
,radio,F4 Bab 10,A,B,C,D,B,Picture20.png
,radio,F5 Bab 1,A,B,C,D,B,Picture21.png
,radio,F5 Bab 1,A,B,C,D,A,Picture22.png
,radio,F5 Bab 2,A,B,C,D,D,Picture23.png
,radio,F5 Bab 2,A,B,C,D,B,Picture24.png
,radio,F5 Bab 3,A,B,C,D,C,Picture25.png
,radio,F5 Bab 3,A,B,C,D,D,Picture26.png
,radio,F5 Bab 4,A,B,C,D,A,Picture27.png
,radio,F5 Bab 4,A,B,C,D,D,Picture28.png
,radio,F5 Bab 5,A,B,C,D,D,Picture29.png
,radio,F5 Bab 5,A,B,C,D,B,Picture30.png
,radio,F5 Bab 6,A,B,C,D,A,Picture31.png
,radio,F5 Bab 6,A,B,C,D,C,Picture32.png
,radio,F5 Bab 7,A,B,C,D,A,Picture33.png
,radio,F5 Bab 7,A,B,C,D,A,Picture34.png
,radio,F5 Bab 8,A,B,C,D,D,Picture35.png
,radio,F5 Bab 8,A,B,C,D,B,Picture36.png
,radio,F5 Bab 9,A,B,C,D,C,Picture37.png
,radio,F5 Bab 9,A,B,C,D,B,Picture38.png
,radio,F5 Bab 10,A,B,C,D,A,Picture39.png
,radio,F5 Bab 10,A,B,C,D,D,Picture40.png
